Date,PX_LAST,PX_VOLUME
15/4/2018,71.28,278306
16/4/2018,71.42,297437
13/4/2018,72.58,328504
12/4/2018,72.02,330212
11/4/2018,72.06,495410
10/4/2018,71.04,452335
9/4/2018,68.65,257496
6/4/2018,67.11,296092
5/4/2018,68.33,270818
4/4/2018,68.02,361479
3/4/2018,68.12,232257
2/4/2018,67.64,190053
29/3/2018,70.27,25293
28/3/2018,69.53,141890
27/3/2018,70.11,131391
26/3/2018,70.12,183689
23/3/2018,70.45,283010
22/3/2018,68.91,286629
21/3/2018,69.47,401046
20/3/2018,67.42,326466
19/3/2018,66.05,272416
16/3/2018,66.21,264214
15/3/2018,65.12,208594
14/3/2018,64.89,267591
13/3/2018,64.64,320571
12/3/2018,64.95,240034
9/3/2018,65.49,286492
8/3/2018,63.61,294786
7/3/2018,64.34,332906
6/3/2018,65.79,199793
5/3/2018,65.54,261060
2/3/2018,64.37,266382
1/3/2018,63.83,340966
28/2/2018,65.78,27394
27/2/2018,66.63,106337
26/2/2018,67.5,188304
23/2/2018,67.31,201717
22/2/2018,66.39,253001
21/2/2018,65.42,245865
20/2/2018,65.25,289165
19/2/2018,65.67,125633
16/2/2018,64.84,239577
15/2/2018,64.33,292913
14/2/2018,64.36,349099
13/2/2018,62.72,367263
12/2/2018,62.59,349667
9/2/2018,62.79,399495
8/2/2018,64.81,346318
7/2/2018,65.51,567758
6/2/2018,66.86,328847
5/2/2018,67.62,335637
2/2/2018,68.58,307134
1/2/2018,69.65,336923
31/1/2018,69.05,20433
30/1/2018,69.02,135872
29/1/2018,69.46,202236
26/1/2018,70.52,227599
25/1/2018,70.42,301926
24/1/2018,70.53,308365
23/1/2018,69.96,343734
22/1/2018,69.03,250603
19/1/2018,68.61,278360
18/1/2018,69.31,270231
17/1/2018,69.38,280419
16/1/2018,69.15,322952
15/1/2018,70.26,173464
12/1/2018,69.87,302098
11/1/2018,69.26,341936
10/1/2018,69.2,290542
9/1/2018,68.82,319922
8/1/2018,67.78,210348
5/1/2018,67.62,183452
4/1/2018,68.07,246148
3/1/2018,67.84,260862
2/1/2018,66.57,211739
29/12/2017,66.87,157948
28/12/2017,66.72,35088
27/12/2017,66.44,122431
26/12/2017,67.02,74246
22/12/2017,65.25,110419
21/12/2017,64.9,155417
20/12/2017,64.56,222727
19/12/2017,63.8,213190
18/12/2017,63.41,234617
15/12/2017,63.23,212995
14/12/2017,63.31,277672
13/12/2017,62.44,354367
12/12/2017,63.34,508993
11/12/2017,64.69,488007
8/12/2017,63.4,362429
